,成型日付,粒硬度,炉NO,異常有無,カメラ時間,画像番号,異常内容,性能試験成績判断,備考,"生産数
（生産日報）"
15954,2022-06-11,46,,,07:57:17,466,成型不良,,成型不良,
15956,2022-06-13,24,,,08:54:00,1772,成型不良,,成型不良,
15959,2022-06-14,SR,,,07:44:07,3,テープ？（テスト？）　排出済,,テスト　排出済み,
15963,2022-06-15,Σ,,,08:45:06,1492,芯棒なし,,ー,
15964,2022-06-15,Σ,,,14:47:03,11474,糸織り異常　樹脂詰まり,,糸密、樹脂目詰まり,
15967,2022-06-16,60,,,14:33:23,12136,1層成型不良,,成型不良,
15968,2022-06-16,60,,,15:35:30,13797,大クロス混入（リング乗っかり⇒排出済み,,大クロス2枚（1枚ズレ）排出済み,
15971,2022-06-17,36,,,15:17:10,11836,樹脂カス　混入,,樹脂カス,
15972,2022-06-17,36,,,21:52:31,23857,糸ヨレ,,糸よれ（小）,
15973,2022-06-17,36,,,22:10:49,24411,小ズレ　大小,,小クロス2枚（1枚ずれ）排出済み,
15983,2022-06-22,Σ,,,01:00:05,3154,通常+小クロス　排出済み,,通常+小クロス　排出済み,
15986,2022-06-23,36,,,02:39:41,27982,目寄り,,目寄り,
15987,2022-06-23,36,,,02:40:48,28014,線寄り,,線寄り,
15988,2022-06-23,36,,,02:40:46,28015,線寄り,,線寄り,
15989,2022-06-23,36,,,02:41:12,28027,線寄り,,線寄り,
15990,2022-06-23,36,,,02:41:22,28032,線寄り,,線寄り,
15991,2022-06-23,36,,,02:41:26,28034,線寄り,,線寄り,
15992,2022-06-23,36,,,02:43:02,28082,線寄り,,線寄り,
15993,2022-06-23,36,,,02:43:15,28088,線寄り,,線寄り,
15994,2022-06-23,36,,,02:44:07,28114,目寄り,,目寄り,
15995,2022-06-23,36,,,02:46:45,28190,線寄り,,線寄り,
15996,2022-06-23,36,,,02:47:14,28205,線寄り,,線寄り,
15997,2022-06-23,36,,,02:47:41,28218,線寄り,,線寄り,
15998,2022-06-23,36,,,02:47:53,28224,線寄り,,線寄り,
15999,2022-06-23,36,,,02:47:55,28225,線寄り,,線寄り,
16000,2022-06-23,36,,,02:48:25,28241,線寄り,,線寄り,
16001,2022-06-23,36,,,02:48:27,28242,線寄り,,線寄り,
16002,2022-06-23,36,,,02:48:37,28247,目寄り,,目寄り,
16003,2022-06-23,36,,,02:48:54,28256,目寄り,,目寄り,
16004,2022-06-23,36,,,02:49:19,28268,目寄り,,目寄り,
16005,2022-06-23,36,,,02:50:13,28295,目寄り,,目寄り,
16006,2022-06-23,36,,,02:50:46,28307,目寄り,,目寄り,
16007,2022-06-23,36,,,02:51:07,28317,目寄り,,目寄り,
16008,2022-06-23,36,,,02:53:23,28325,目寄り,,目寄り,
16009,2022-06-23,36,,,02:51:43,28334,目寄り,,目寄り,
16010,2022-06-23,36,,,02:52:03,28344,目寄り,,目寄り,
16011,2022-06-23,36,,,02:52:30,28358,目寄り,,目寄り,
16012,2022-06-23,36,,,02:53:10,28379,目寄り,,目寄り,
16013,2022-06-23,36,,,02:53:28,28388,目寄り,,目寄り,
16014,2022-06-23,36,,,02:53:40,28394,目寄り,,目寄り,
16015,2022-06-23,36,,,02:53:50,28399,目寄り,,目寄り,
16016,2022-06-23,36,,,02:54:47,28429,目寄り,,目寄り,
16017,2022-06-23,36,,,02:54:59,28435,目寄り,,目寄り,
16018,2022-06-23,36,,,02:56:05,28466,目寄り,,目寄り,
16019,2022-06-23,36,,,02:57:07,28497,目寄り,,目寄り,
16020,2022-06-23,36,,,02:57:11,28499,目寄り,,目寄り,
16021,2022-06-23,36,,,02:57:16,28501,目寄り,,目寄り,
16022,2022-06-23,36,,,02:58:44,28545,目寄り,,目寄り,
16023,2022-06-23,36,,,02:58:54,28550,目寄り,,目寄り,
16024,2022-06-23,36,,,02:59:14,28560,目寄り,,目寄り,
16025,2022-06-23,36,,,02:59:44,28575,目寄り,,目寄り,
16028,2022-06-24,36,,,17:06:58,44368,目ずれ,,目ずれ（小）,
16029,2022-06-24,36,,,17:10:06,44402,目ずれ,,目ずれ（小）,
16030,2022-06-24,36,,,17:19:43,44686,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16031,2022-06-24,36,,,17:20:20,44705,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16032,2022-06-24,36,,,17:20:41,44716,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16033,2022-06-24,36,,,17:20:51,44721,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16034,2022-06-24,36,,,17:22:33,44722,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16035,2022-06-24,36,,,17:25:38,44861,,,樹脂カス,
16036,2022-06-24,36,,,17:26:37,44889,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16037,2022-06-24,36,,,17:27:27,44915,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16038,2022-06-24,36,,,17:27:29,44916,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16039,2022-06-24,36,,,17:41:35,45326,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16040,2022-06-24,36,,,17:45:06,45432,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16041,2022-06-24,36,,,17:51:37,45611,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16042,2022-06-24,36,,,18:32:22,46773,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16043,2022-06-24,36,,,19:20:06,48125,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16044,2022-06-24,36,,,19:20:08,48126,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16045,2022-06-24,36,,,19:21:27,48163,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16046,2022-06-24,36,,,19:22:04,48182,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16047,2022-06-24,36,,,19:39:03,48649,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16048,2022-06-24,36,,,20:21:49,49899,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16049,2022-06-24,36,,,20:31:59,50398,目寄り　この時間目寄り多い,,目寄り、他にも目寄りあり,
16051,2022-06-27,Σ,,,14:10:04,4609,正常＋小クロス,,,
